83.8482	62.7686	75.593	85.18	71.5505	85.1977	78.6695	87.6288	77.2128	72.2833	77.1006	86.387
72.4403	NaN	70.0253	78.8041	89.3838	0	80.8306	94.6833	80.025	0	75.041	86.017
80.5822	16.8959	85.4652	84.4659	73.4401	47.4977	91.5408	82.6841	76.8456	24.9254	88.3987	83.5655
21.392	72.9429	93.3921	59.0353	49.6038	88.6334	33.309	88.6422	29.8926	80.0263	49.1045	70.8709
72.3786	81.7938	71.4432	93.8119	34.4603	77.0824	22.8266	55.9052	46.6906	79.3682	34.5987	70.0598
97.5926	92.5386	34.8933	96.1556	45.0604	30.7195	99.7626	86.7401	61.654	46.1266	51.7029	91.2055
60.7193	48.5948	70.4765	71.645	86.4296	57.9321	78.8263	92.9981	71.3283	52.8543	74.4179	80.9369
84.3677	31.3447	79.0925	83.321	78.7731	77.6968	85.4055	94.6671	81.4745	44.6689	82.1279	88.6324
78.1611	65.0104	76.3348	93.8862	77.1792	8.15138	85.342	81.9592	77.667	14.4864	80.5875	87.5182
41.8922	0	88.7546	50.1293	95.0353	0	80.3707	96.5386	58.151	0	84.3549	65.9914
90.0746	36.7938	57.4991	94.1726	61.5657	72.7646	67.6961	91.1969	73.1403	48.8741	62.1823	92.6609
29.9355	60.2991	0	46.0284	86.5312	67.1825	0	97.1548	44.4824	63.555	0	62.4637
88.5033	NaN	72.021	97.9491	47.0684	0	94.0094	78.1974	61.454	0	81.5592	86.9659
81.8691	57.6518	79.2274	96.0175	44.4548	93.5809	32.3611	82.1098	57.6213	71.3484	45.9525	88.5207
88.3941	18.786	90.2833	91.2738	73.7672	44.7071	90.3915	89.1831	80.421	26.4553	90.3374	90.2164
69.0987	49.4621	55.8855	76.1004	73.0644	65.4115	83.8994	91.6724	71.0262	56.3296	67.0854	83.1637
60.8465	36.0029	72.9887	73.7467	76.1368	96.0559	33.5421	89.6968	67.6383	52.375	45.9622	80.9435
70.7193	70.0473	23.4418	74.7315	78.5504	75.343	50.948	93.363	74.4295	72.5987	32.1096	83.0147
78.3757	17.6992	38.7601	81.9504	55.765	59.1336	16.6104	78.8983	65.1647	27.244	23.255	80.3954
93.5759	39.2685	46.2503	95.4184	45.4936	24.185	90.8954	85.6127	61.2227	29.934	61.3061	90.25
18.6317	66.9139	91.1424	56.7071	77.2694	64.4152	84.0495	92.729	30.0238	65.6408	87.4523	70.3764
77.9962	74.674	80.6481	94.6639	81.305	78.604	9.37631	95.6604	79.6162	76.5886	16.7995	95.1595
66.9258	NaN	NaN	73.1902	96.0424	0	NaN	96.0022	78.8831	0	NaN	83.0584
64.8078	86.7758	NaN	90.1763	58.6519	95.7894	NaN	93.428	61.5764	91.0601	NaN	91.7734
68.9148	96.5497	NaN	94.0167	81.4926	93.1123	NaN	96.7622	74.6778	94.7998	NaN	95.3697
67.2398	89.2917	NaN	91.1883	82.4208	79.3335	NaN	95.1798	74.0604	84.0186	NaN	93.1413
36.489	68.252	94.7581	70.267	68.4278	81.1015	17.8843	93.6046	47.597	74.124	30.0896	80.274
23.6868	76.9704	NaN	49.1763	66.4576	63.0659	NaN	89.7665	34.9254	69.3278	NaN	63.5425
58.3748	90.0861	NaN	86.3735	84.3836	73.7767	NaN	94.0928	69.0099	81.1197	NaN	90.068
